,address,count,위도,경도
35,서울특별시 영등포구 여의도동 5-4,19,37.5267088,126.9238
36,서울특별시 영등포구 문래동3가 55-21,19,37.51702,126.89591
37,서울특별시 영등포구 여의도동 23-1,19,37.5267088,126.9238
38,서울특별시 영등포구 여의도동 28,19,37.5267088,126.9238
39,서울특별시 영등포구 여의도동 28-3,18,37.5267088,126.9238
40,서울특별시 영등포구 대림동 697-1,17,37.4957573,126.899936
41,서울특별시 영등포구 대림동 698-1,17,37.4957573,126.899936
42,서울특별시 영등포구 여의도동 1,17,37.5215226,126.9237311
43,서울특별시 영등포구 대림동 697,17,37.4957573,126.899936
44,서울특별시 영등포구 문래동3가 31-1,17,37.51702,126.89591
45,서울특별시 영등포구 대림동 736-3,17,37.4957573,126.899936
46,서울특별시 영등포구 여의도동 3-2,16,37.5267088,126.9238
47,서울특별시 영등포구 여의도동 47,16,37.5267088,126.9238
48,서울특별시 영등포구 문래동6가 10-1,16,37.51938,126.88467
49,서울특별시 영등포구 문래동6가 5-2,16,37.51938,126.88467
50,서울특별시 영등포구 여의도동 7-1,15,37.5267088,126.9238
51,서울특별시 영등포구 여의도동 20,15,37.5267088,126.9238
52,서울특별시 영등포구 양평동4가 73,15,37.53689,126.89638
53,서울특별시 영등포구 문래동3가 54,15,37.51702,126.89591
54,서울특별시 영등포구 여의도동 2-3,14,37.5267088,126.9238
55,서울특별시 영등포구 양평동6가 95-3,14,37.5418285,126.890214
56,서울특별시 영등포구 여의도동 60,14,37.5267088,126.9238
57,서울특별시 영등포구 여의도동 12,14,37.5267088,126.9238
58,서울특별시 영등포구 문래동5가 13-3,14,37.51588,126.88411
59,서울특별시 영등포구 문래동5가 12-1,14,37.51588,126.88411
60,서울특별시 영등포구 여의도동 1-7,14,37.5267088,126.9238
61,서울특별시 영등포구 문래동3가 97,14,37.51702,126.89591
62,서울특별시 영등포구 문래동3가 55-18,14,37.51702,126.89591
63,서울특별시 영등포구 문래동3가 68,14,37.51702,126.89591
64,서울특별시 영등포구 여의도동 4-6,14,37.5267088,126.9238
65,서울특별시 영등포구 여의도동 24-5,13,37.5267088,126.9238
66,서울특별시 영등포구 대림동 698-2,13,37.4957573,126.899936
67,서울특별시 영등포구 여의도동 3-4,13,37.5267088,126.9238
68,서울특별시 영등포구 대림동 774-1,12,37.4957573,126.899936
69,서울특별시 영등포구 여의도동 4-2,12,37.5267088,126.9238
70,서울특별시 영등포구 여의도동 21,11,37.5267088,126.9238
71,서울특별시 영등포구 양평동4가 10,11,37.53689,126.89638
72,서울특별시 영등포구 문래동2가 58-6,11,37.5128036,126.8929788
73,서울특별시 영등포구 문래동5가 3-2,11,37.51588,126.88411
74,서울특별시 영등포구 여의도동 21-2,11,37.5267088,126.9238
75,서울특별시 영등포구 양평동6가 86-1,10,37.5418285,126.890214
76,서울특별시 영등포구 양평동4가 260-1,10,37.53689,126.89638
77,서울특별시 영등포구 문래동6가 5-1,10,37.51938,126.88467
78,서울특별시 영등포구 양평동5가 35-1,10,37.53906,126.8928
79,서울특별시 영등포구 여의도동 1-1,10,37.5267088,126.9238
80,서울특별시 영등포구 영등포동4가 53-3,10,37.51777,126.90368
81,서울특별시 영등포구 문래동6가 26-1,10,37.51938,126.88467
82,서울특별시 영등포구 양평동4가 18-1,10,37.53689,126.89638
83,서울특별시 영등포구 양평동5가 40-1,10,37.53906,126.8928
84,서울특별시 영등포구 여의도동 3-9,9,37.5267088,126.9238
85,서울특별시 영등포구 여의도동 28-1,9,37.5267088,126.9238
86,서울특별시 영등포구 여의도동 61-3,9,37.5267088,126.9238
87,서울특별시 영등포구 여의도동 13,9,37.5267088,126.9238
88,서울특별시 영등포구 여의도동 5-2,9,37.5267088,126.9238
89,서울특별시 영등포구 대림동 774-3,9,37.4957573,126.899936
90,서울특별시 영등포구 문래동4가 46-1,9,37.514477,126.8898892
91,서울특별시 영등포구 양평동5가 128-1,9,37.53906,126.8928
92,서울특별시 영등포구 여의도동 24-3,9,37.5267088,126.9238
93,서울특별시 영등포구 양평동5가 104-1,9,37.53906,126.8928
94,서울특별시 영등포구 여의도동 36,9,37.5267088,126.9238
95,서울특별시 영등포구 양평동6가 90-4,8,37.5418285,126.890214
96,서울특별시 영등포구 여의도동 3-6,8,37.5267088,126.9238
97,서울특별시 영등포구 문래동2가 56-16,8,37.5128036,126.8929788
98,서울특별시 영등포구 문래동6가 45-1,8,37.51938,126.88467
99,서울특별시 영등포구 여의도동 8-3,8,37.5267088,126.9238
100,서울특별시 영등포구 여의도동 44-6,8,37.5267088,126.9238
101,서울특별시 영등포구 여의도동 15-21,8,37.5267088,126.9238
102,서울특별시 영등포구 여의도동 44-14,8,37.5267088,126.9238
103,서울특별시 영등포구 영등포동1가 76-1,8,37.51509,126.91423
104,서울특별시 영등포구 여의도동 44-2,8,37.5267088,126.9238
105,서울특별시 영등포구 여의도동 50,8,37.5267088,126.9238
106,서울특별시 영등포구 여의도동 21-1,7,37.5267088,126.9238
107,서울특별시 영등포구 대림동 774,7,37.4957573,126.899936
108,서울특별시 영등포구 대림동 698,7,37.4957573,126.899936
109,서울특별시 영등포구 문래동3가 54-10,7,37.51702,126.89591
110,서울특별시 영등포구 영등포동8가 68-1,7,37.52872,126.90411
111,서울특별시 영등포구 대림동 736-1,7,37.4957573,126.899936
112,서울특별시 영등포구 영등포동4가 150-1,7,37.51777,126.90368
113,서울특별시 영등포구 여의도동 18,7,37.5267088,126.9238
